DATE,Canada
2010M11,74.31178584125456
2010M12,74.43948627116386
2011M01,73.12628280354468
2011M02,73.30022227347735
2011M03,72.46963374052072
2011M04,71.20924410009809
2011M05,71.80994584384537
2011M06,72.95651261116517
2011M07,71.41170956028577
2011M08,72.91818478613803
2011M09,74.3339227907241
2011M10,75.53893551236811
2011M11,76.1521270080995
2011M12,75.66487186075162
2012M01,74.94100054698163
2012M02,74.21825747693065
2012M03,73.72992689566726
2012M04,73.65007852681276
2012M05,75.11125188411705
2012M06,76.80077896487659
2012M07,75.24864542860652
2012M08,73.98636895941404
2012M09,73.44524033014004
2012M10,74.04444104858038
2012M11,74.62118634143228
2012M12,74.10154598838099
2013M01,74.25941671558066
2013M02,75.50858799786985
2013M03,76.33115111113578
2013M04,76.37608405060237
2013M05,76.32544981754141
2013M06,77.2586929763685
2013M07,77.97611742733726
2013M08,78.0699173779947
2013M09,77.28360541908899
2013M10,78.02280872662283
2013M11,78.61214006512523
2013M12,79.54803670069076
2014M01,81.83692313371462
2014M02,82.97266971977116
2014M03,83.03862869292291
2014M04,82.29804882335304
2014M05,81.44439802483065
2014M06,80.78325453201597
2014M07,80.13132576023347
2014M08,81.49274499910598
2014M09,82.23685330337875
2014M10,83.45537088303989
2014M11,84.07978937154083
2014M12,85.69780442830363
2015M01,89.88906877071962
2015M02,92.44580156656677
2015M03,93.07200049700069
2015M04,91.11283919633367
2015M05,90.33168450691282
2015M06,91.91684171275381
2015M07,95.5544558256452
2015M08,96.89849059255836
2015M09,98.37926933338292
2015M10,96.78016260536663
2015M11,98.12747595250784
2015M12,101.21106893060126
2016M01,104.82971412397197
2016M02,101.71995447559482
2016M03,97.1051056939696
2016M04,94.31399600287065
2016M05,95.06490083689279
2016M06,95.15549332633947
2016M07,96.62409933211262
2016M08,96.12372044748865
2016M09,97.02060722868588
2016M10,98.39546286849615
2016M11,99.36591819286926
2016M12,98.81033425659211
2017M01,97.80105000453185
2017M02,97.21535597107874
2017M03,99.36925844156107
2017M04,99.2817943111806
2017M05,100.77245745116467
2017M06,98.7145743668345
2017M07,94.19625230671559
2017M08,93.66256755754455
2017M09,91.70581498033157
2017M10,93.811445260737
2017M11,95.01249785349954
2017M12,95.31963059017305
2018M01,92.20947292126485
2018M02,93.55332666585817
2018M03,95.70842818197244
2018M04,94.31525950788644
2018M05,96.12685250611501
2018M06,97.6264145049172
2018M07,97.12411687205748
2018M08,96.50811622879579
2018M09,96.98159335361804
2018M10,96.86314439828743
2018M11,98.46448397627861
2018M12,99.7118036303969
2019M01,99.00793950854597
2019M02,98.01857916831345
2019M03,99.39991573224187
2019M04,99.48538735811421
2019M05,100.0
