DATE,Greece
2010M11,70.21070658881662
2010M12,72.34633860516563
2011M01,72.47102034736636
2011M02,72.2010165823669
2011M03,68.85314087856933
2011M04,66.7490389153968
2011M05,67.38659491123751
2011M06,67.25975739515485
2011M07,68.8597926331642
2011M08,69.64116730178111
2011M09,70.33968651510718
2011M10,70.44906194348319
2011M11,71.04714529290236
2011M12,72.97155910075166
2012M01,75.44979037285317
2012M02,75.08686772539689
2012M03,73.6995564643742
2012M04,73.51729377430638
2012M05,75.83841979206704
2012M06,77.52952508571384
2012M07,79.98710618140767
2012M08,80.51848124362985
2012M09,76.14093502597795
2012M10,74.79381491459006
2012M11,75.66091419655466
2012M12,73.97396959367015
2013M01,74.29148192593361
2013M02,75.75339689439329
2013M03,76.31649771980855
2013M04,75.52235702849433
2013M05,76.05141295081175
2013M06,75.21827102126781
2013M07,77.15251318172814
2013M08,77.13326446920759
2013M09,75.04068804288752
2013M10,73.31414821992628
2013M11,74.95603091571685
2013M12,73.13215981046525
2014M01,74.76659532275914
2014M02,75.7898035270592
2014M03,73.64708799096115
2014M04,73.60313282691305
2014M05,74.8947691509914
2014M06,75.31346450701496
2014M07,76.5324567456811
2014M08,78.643646737087
2014M09,79.58828982530947
2014M10,81.5598826348442
2014M11,83.19739453975859
2014M12,84.080438810686
2015M01,90.0765470124934
2015M02,93.1931975937447
2015M03,95.94387047271633
2015M04,96.17043965819666
2015M05,94.24006260082311
2015M06,93.42709668108267
2015M07,96.55269041992356
2015M08,95.6131446012382
2015M09,93.06919083510549
2015M10,93.01918591358813
2015M11,97.87545313865068
2015M12,96.17981594494367
2016M01,98.40009548324554
2016M02,96.8308496575449
2016M03,95.90438865551985
2016M04,93.61123093865139
2016M05,94.65813951633388
2016M06,94.9039504474002
2016M07,97.72789210022894
2016M08,96.9009248878638
2016M09,95.43111097533271
2016M10,96.79397531569248
2016M11,99.85798920183919
2016M12,101.26826313413297
2017M01,102.01427211889282
2017M02,102.35105088014583
2017M03,100.24030241453721
2017M04,99.54563157838318
2017M05,97.48406298403386
2017M06,95.47434668957426
2017M07,94.65838639055615
2017M08,92.96706987467451
2017M09,90.89959007339858
2017M10,91.97437688521242
2017M11,92.80914013637091
2017M12,91.49852357961814
2018M01,90.76369745534686
2018M02,90.11387399414072
2018M03,89.07042184353867
2018M04,89.05137094541703
2018M05,93.24257464482913
2018M06,93.53323962071411
2018M07,95.17234493972742
2018M08,96.67978506833138
2018M09,93.98439076097144
2018M10,94.85040492228725
2018M11,96.96257945095884
2018M12,96.40439845463692
2019M01,98.04837908349289
2019M02,98.90082268130566
2019M03,98.10180177508443
2019M04,98.21350747194501
2019M05,99.99999999999999
