DATE,Chile
2010M12,76.56724408029274
2011M01,79.09536275397936
2011M02,77.07575664797415
2011M03,77.88161105476917
2011M04,76.77986383497469
2011M05,76.24683902484274
2011M06,76.30503481454052
2011M07,75.22598334822585
2011M08,75.93756284185419
2011M09,78.41553629760627
2011M10,82.39347778366097
2011M11,81.5315557128401
2011M12,82.23136198934755
2012M01,79.99665279086456
2012M02,76.86710604225537
2012M03,77.9470546700965
2012M04,78.24921204381602
2012M05,79.91322917128147
2012M06,81.4040677248426
2012M07,79.03236316352552
2012M08,77.58064019737627
2012M09,76.36705914695989
2012M10,75.96959046872776
2012M11,76.7881202672437
2012M12,76.05145985774588
2013M01,75.42708833367068
2013M02,75.90960344965589
2013M03,75.84075423441844
2013M04,76.06984372683509
2013M05,77.41543170277197
2013M06,80.85774979714976
2013M07,80.95027917658392
2013M08,82.13687294562666
2013M09,80.47523783103568
2013M10,79.60283039294065
2013M11,82.04852661429814
2013M12,83.15421906644691
2014M01,84.51027091573923
2014M02,87.14070718390855
2014M03,88.42404870128695
2014M04,86.75775918054165
2014M05,86.9911758988372
2014M06,86.63719151751292
2014M07,87.20099317590869
2014M08,90.01866417364509
2014M09,91.5614416858962
2014M10,89.74269713924336
2014M11,89.7250825501849
2014M12,92.67889136940403
2015M01,93.44579087530356
2015M02,93.86216191252686
2015M03,94.57044846216587
2015M04,92.15850426176505
2015M05,91.39630377787618
2015M06,94.62367848897081
2015M07,97.25314536975213
2015M08,102.08924456979368
2015M09,101.94750509912485
2015M10,100.54529421280996
2015M11,103.10249772015894
2015M12,102.77421131601895
2016M01,105.03813942297569
2016M02,102.23926573667421
2016M03,99.09062717701316
2016M04,97.46853097465542
2016M05,99.44806483763628
2016M06,99.14746202304553
2016M07,95.32576679803857
2016M08,95.55638085809136
2016M09,96.98371944986856
2016M10,96.26005345252533
2016M11,96.37865067111304
2016M12,96.76346521635097
2017M01,95.93503527959486
2017M02,93.39715444698257
2017M03,95.72113188353096
2017M04,94.97736412488095
2017M05,97.20734059720783
2017M06,96.76869877183141
2017M07,95.46090068424864
2017M08,93.5279922206329
2017M09,91.4347662060047
2017M10,91.42725776624381
2017M11,91.94619821247993
2017M12,92.2287532255383
2018M01,87.76868776516118
2018M02,86.87495457888156
2018M03,87.78445204144579
2018M04,87.48051348897393
2018M05,91.227397762427
2018M06,92.84407059215168
2018M07,94.89274867777873
2018M08,95.32954088039133
2018M09,98.695622592572
2018M10,97.96111550653731
2018M11,97.8392054470601
2018M12,98.14732275374826
2019M01,97.53880526875521
2019M02,94.80599655324087
2019M03,96.67271316455721
2019M04,96.75937004950032
2019M05,100.00000000000001
