DATE,France
1986M11,84.47411735470516
1986M12,83.42682839792249
1987M01,78.74078679868174
1987M02,77.4790239236345
1987M03,77.98791931495605
1987M04,77.08689969700879
1987M05,76.45307470170087
1987M06,77.99693426205192
1987M07,78.91467759183249
1987M08,79.78529269199247
1987M09,78.21677246144701
1987M10,77.84671136754508
1987M11,73.81442491177319
1987M12,71.57436713887247
1988M01,72.15033366090606
1988M02,74.27982592179586
1988M03,73.73253771545515
1988M04,73.63531061673119
1988M05,74.36299626006853
1988M06,76.93089750541772
1988M07,80.88909427184234
1988M08,83.20892336652989
1988M09,83.05157713910255
1988M10,81.43475040449222
1988M11,78.136597619733
1988M12,78.52418062270293
1989M01,81.8739259398102
1989M02,82.7643346866621
1989M03,83.13542818798723
1989M04,83.15862230262128
1989M05,87.25587696150654
