DATE,Iceland
2010M11,99.98069942126196
2010M12,102.70929522160507
2011M01,105.13344516875019
2011M02,104.1789692256672
2011M03,103.0272352046455
2011M04,100.88075381444581
2011M05,101.7528371202612
2011M06,101.6463460949489
2011M07,101.88191937966002
2011M08,101.10042536445557
2011M09,102.69028754320568
2011M10,101.38866688590986
2011M11,102.19399044135515
2011M12,105.02994305293156
2012M01,107.49991536699008
2012M02,106.70028490570341
2012M03,108.93351530423571
2012M04,108.7994802331172
2012M05,108.95080289693759
2012M06,108.64599417685464
2012M07,107.834663520766
2012M08,103.70039596897236
2012M09,105.66963302854539
2012M10,106.25738420230978
2012M11,108.29559419146523
2012M12,107.06795651559672
2013M01,109.11763419822358
2013M02,107.35151093426812
2013M03,105.47073582300307
2013M04,99.84288867787984
2013M05,101.81000566481113
2013M06,101.99734750887563
2013M07,103.0142269081014
2013M08,100.44160899943132
2013M09,101.42084647745183
2013M10,100.87873808839814
2013M11,101.02810238712321
2013M12,97.10740527243297
2014M01,96.73490115906795
2014M02,95.07902366353574
2014M03,94.44727035465272
2014M04,93.96553140343816
2014M05,94.47468944106971
2014M06,95.21709251633224
2014M07,96.54257846290453
2014M08,96.86897810119774
2014M09,99.6432730444645
2014M10,100.68539150467069
2014M11,102.98293136826851
2014M12,103.20066870397117
2015M01,109.07943417509834
2015M02,109.10520901135904
2015M03,112.54815792325084
2015M04,112.04602342264837
2015M05,109.30923415405599
2015M06,109.23240674347252
2015M07,110.52752556106805
2015M08,107.91767093577863
2015M09,105.1320521854041
2015M10,103.69923028973331
2015M11,107.50618950661641
2015M12,106.05926946454346
2016M01,107.04350481857563
2016M02,104.7889761895816
2016M03,103.77012022472093
2016M04,101.47732777257563
2016M05,101.25975343666438
2016M06,101.20857988206212
2016M07,100.2496599126788
2016M08,96.60231296983983
2016M09,93.8523069339373
2016M10,93.4563249904663
2016M11,91.75723773546167
2016M12,91.92751094402335
2017M01,94.50690314978284
2017M02,91.78945565709554
2017M03,90.13302897198548
2017M04,90.72864030936651
2017M05,84.63106808169724
2017M06,83.29375512221276
2017M07,86.05450737468055
2017M08,87.11192848559224
2017M09,87.6486652666774
2017M10,86.54923554568565
2017M11,85.66541710118398
2017M12,85.8048009399902
2018M01,84.70401176446748
2018M02,83.01950252037952
2018M03,81.70729578627548
2018M04,81.97073699623579
2018M05,86.00256869649196
2018M06,87.97855709118096
2018M07,87.63415395363698
2018M08,88.46940750551178
2018M09,90.73451720016813
2018M10,95.5994420220837
2018M11,99.9698132082137
2018M12,97.5887979932893
2019M01,96.86243148898214
2019M02,97.2873515288705
2019M03,97.34432671494584
2019M04,97.79868885836741
2019M05,100.0
