DATE,Italy
2000M10,121.02793574725855
2000M11,120.57194760566868
2000M12,114.9434019197911
2001M01,110.10547378438561
2001M02,112.14275475216571
2001M03,113.83335264829854
2001M04,116.02523960919055
2001M05,118.6017860304857
2001M06,121.38724417806753
2001M07,119.91087431059708
2001M08,114.61393328922772
2001M09,113.7807658461251
2001M10,113.84771876490034
2001M11,115.67688923087414
2001M12,114.69218221032796
2002M01,115.58092306255794
2002M02,117.38234273161967
2002M03,116.96893217338926
2002M04,115.99970540829787
2002M05,111.77917689668944
2002M06,107.27871848393494
2002M07,103.22295005778547
2002M08,104.9066485244939
2002M09,104.58329650410695
2002M10,104.45613831922509
2002M11,102.0049582228595
2002M12,100.02767139984398
2003M01,95.91156212835682
2003M02,95.11975675157461
2003M03,95.09973356189975
2003M04,94.29315598004517
2003M05,87.96353258367006
2003M06,87.36286323448903
2003M07,89.54594022090225
2003M08,91.56282120948144
2003M09,91.05747736399282
2003M10,87.18265107743093
2003M11,86.67884682130178
2003M12,82.39989727446655
2004M01,80.51291310050534
2004M02,80.54012991149979
2004M03,83.32941544619916
2004M04,85.32304611555847
2004M05,85.45824309419315
2004M06,84.62939633159947
2004M07,83.58689544799991
2004M08,84.04597176320755
2004M09,83.93139801553458
2004M10,82.5502571965716
2004M11,79.33550117138972
2004M12,76.40296507524532
2005M01,78.23547790720522
2005M02,79.0845812970442
2005M03,78.32970032003132
2005M04,80.32187061495772
2005M05,81.53578542245288
2005M06,85.11440584092846
2005M07,86.07094048620365
2005M08,84.58713275831923
2005M09,85.88499762020237
2005M10,87.57096161336989
2005M11,88.48948601814853
2005M12,87.60658445503033
2006M01,86.27192050325057
2006M02,87.43065626563819
2006M03,87.11577047968993
2006M04,85.79884488719925
2006M05,82.59728921848891
2006M06,83.48228958249386
2006M07,83.24741670796814
2006M08,82.45052980937162
2006M09,82.63168746445929
2006M10,83.02610222636253
2006M11,81.10848248896633
2006M12,79.12265224483002
2007M01,80.6123404439301
2007M02,80.32843530179055
2007M03,79.9114254337259
2007M04,78.67929593573109
2007M05,78.94518625087059
2007M06,79.46467928304426
2007M07,77.54859857396644
2007M08,77.82032235204176
2007M09,76.50570727702198
2007M10,74.65023963589262
2007M11,72.48942347212058
2007M12,72.78751553052817
2008M01,72.0900456702039
2008M02,71.99697148215758
2008M03,68.62714601256961
2008M04,67.90327413245448
2008M05,68.97125693126017
2008M06,69.37960223207229
2008M07,68.43387704150906
2008M08,71.70130056690468
2008M09,74.8230534593033
2008M10,79.97585987085309
2008M11,82.27746276900528
2008M12,77.36328814231786
2009M01,78.91242159221824
2009M02,81.90796410131249
2009M03,80.44458133393707
2009M04,79.55397336744045
2009M05,76.93962466611359
2009M06,75.501725144993
2009M07,74.99975034400958
2009M08,74.0017769219361
2009M09,72.71915511139947
2009M10,71.48248855940018
2009M11,71.07340573729299
2009M12,72.2606738542189
2010M01,74.12053929804914
2010M02,77.25558328578188
2010M03,78.01583411635191
2010M04,78.8163794288313
2010M05,84.12993180576227
2010M06,86.46928260535088
2010M07,82.41944538505113
2010M08,81.54750650117377
2010M09,80.70976358501343
2010M10,75.78009961817044
2010M11,77.16342550757939
