DATE,Turkey
2010M11,46.1037299649447
2010M12,48.896115261403814
2011M01,50.214787866963285
2011M02,51.06093483852136
2011M03,51.02097136458621
2011M04,48.97527772024641
2011M05,49.622987534169724
2011M06,51.25029725782237
2011M07,53.1161559105862
2011M08,56.08346185343423
2011M09,57.02329831935806
2011M10,56.33398883285789
2011M11,54.423913560968046
2011M12,55.77812595256228
2012M01,55.11109654120433
2012M02,52.350754817216995
2012M03,53.43162710933086
2012M04,52.793226694712494
2012M05,53.43732030625652
2012M06,54.439290435802626
2012M07,54.176291193086705
2012M08,53.5768512337145
2012M09,53.56380154594463
2012M10,52.513199436194355
2012M11,51.77828897817116
2012M12,51.15529613242798
2013M01,50.192121299067
2013M02,50.45189178140197
2013M03,51.386548838291006
2013M04,50.835794270986796
2013M05,51.417276662089385
2013M06,53.39854573441912
2013M07,54.0947299383934
2013M08,55.05859427312272
2013M09,56.37873401264926
2013M10,54.418942566924045
2013M11,55.12166996097748
2013M12,55.95065179245648
2014M01,59.346725282441355
2014M02,59.31221379494274
2014M03,59.02974382997641
2014M04,56.069248613617575
2014M05,54.99111733470364
2014M06,55.7111886609225
2014M07,55.43753456226721
2014M08,56.33588451764753
2014M09,57.602869799470234
2014M10,57.66277176469478
2014M11,56.487778955804714
2014M12,57.9348425756457
2015M01,58.02988878654047
2015M02,61.09702715149975
2015M03,63.950524604859844
2015M04,64.51351158314903
2015M05,64.23610508879732
2015M06,66.2665559522752
2015M07,65.96708511986373
2015M08,69.51346109312489
2015M09,72.6525491541717
2015M10,69.37017249500026
2015M11,67.82366431841251
2015M12,68.38830045932336
2016M01,69.12153408807455
2016M02,67.80968291774748
2016M03,66.97032838258268
2016M04,65.60937848481142
2016M05,67.57128022198604
2016M06,67.24498187608812
2016M07,67.04584817594274
2016M08,67.53087118936953
2016M09,67.57090836972
2016M10,69.17440148900907
2016M11,73.41178738021895
2016M12,76.87411600656097
2017M01,80.8705631828771
2017M02,78.96642638427568
2017M03,78.23574717755558
2017M04,77.03318743669078
2017M05,75.07415435079638
2017M06,74.28835290299693
2017M07,74.96937920572489
2017M08,73.75502374239126
2017M09,72.82651899918997
2017M10,75.40891614307002
2017M11,78.55387344332172
2017M12,77.370094669471
2018M01,75.40590218163912
2018M02,75.39710887258968
2018M03,76.80369926781766
2018M04,79.00819769088397
2018M05,84.817288460415
2018M06,87.11732971382814
2018M07,88.89134279191573
2018M08,106.16437966897092
2018M09,109.2928716039797
2018M10,98.3982504148681
2018M11,91.5100742152743
2018M12,90.22642653759337
2019M01,90.62831178185243
2019M02,89.00401239593091
2019M03,91.96371247081329
2019M04,95.74006282490303
2019M05,100.0
