DATE,Ireland
2010M12,76.76357003362256
2011M01,76.58716257487701
2011M02,74.6112006459114
2011M03,72.7957201457918
2011M04,70.72270894318078
2011M05,71.52568782458957
2011M06,71.23761904183291
2011M07,71.99493132455194
2011M08,71.64592682052808
2011M09,74.53542189812006
2011M10,74.50335592743865
2011M11,75.25108094267503
2011M12,77.4507496644361
2012M01,79.84211224854766
2012M02,77.5444257244521
2012M03,77.48538937243536
2012M04,77.95030650336972
2012M05,80.15038725322731
2012M06,81.85352555201175
2012M07,83.39135771723284
2012M08,82.60147416585566
2012M09,80.11505885024286
2012M10,79.42087458359663
2012M11,80.26980178188452
2012M12,78.19641763883531
2013M01,77.82657095805193
2013M02,77.42463327518847
2013M03,79.6694111532372
2013M04,79.20629873211718
2013M05,79.69574488862612
2013M06,78.55863634337057
2013M07,79.32384637966794
2013M08,77.96500460581504
2013M09,77.91593078985619
2013M10,76.2261017534802
2013M11,77.02256300618272
2013M12,75.83254623079509
2014M01,77.01946041277388
2014M02,76.64934879742148
2014M03,75.69708451309485
2014M04,75.92550696445423
2014M05,76.71668716948624
2014M06,77.49188311438917
2014M07,77.92274377719899
2014M08,78.93902692549281
2014M09,81.78660853251087
2014M10,83.21158399212264
2014M11,84.34270051106796
2014M12,85.16778889004223
2015M01,90.70464539566508
2015M02,92.67952257098507
2015M03,97.08199874003188
2015M04,97.7926896087953
2015M05,94.64851404419167
2015M06,94.24249309451257
2015M07,96.30184972145805
2015M08,94.57236431446397
2015M09,94.17899765300547
2015M10,94.21975112669723
2015M11,98.68364524915532
2015M12,97.16336111217177
2016M01,98.2591065901322
2016M02,95.89656314011475
2016M03,95.87265075391753
2016M04,94.08647535505568
2016M05,94.2420842994386
2016M06,94.58307037963468
2016M07,95.98037003279069
2016M08,95.03162932909669
2016M09,95.63245397115529
2016M10,97.86239873064481
2016M11,99.88795985414723
2016M12,102.32724507499427
2017M01,102.73965226855155
2017M02,102.16859500118883
2017M03,101.24793395692447
2017M04,100.78830063752936
2017M05,98.01875722287885
2017M06,96.49887250671856
2017M07,94.08091563579748
2017M08,91.62438424663848
2017M09,91.82393006254495
2017M10,93.09583696663239
2017M11,93.43068565657605
2017M12,92.68746093971332
2018M01,91.06573288418312
2018M02,89.55947968693435
2018M03,89.57746210103333
2018M04,90.55493260875036
2018M05,93.94939126911153
2018M06,95.07890303943383
2018M07,94.64794394310543
2018M08,95.54810764039118
2018M09,95.12599970588869
2018M10,96.83955348915427
2018M11,97.9901401477761
2018M12,97.52716787326442
2019M01,98.11760657725476
2019M02,98.31556195642284
2019M03,98.51662223109912
2019M04,99.21585486678153
2019M05,100.0
