DATE,Germany
1986M12,88.65345317434593
1987M01,82.92368567158636
1987M02,81.78880179706223
1987M03,82.1552390947459
1987M04,81.51135687383406
1987M05,80.89678601405262
1987M06,82.45218689999072
1987M07,84.03281651300242
1987M08,85.02655835934388
1987M09,83.26706979195116
1987M10,82.93110347749939
1987M11,77.4694945317699
1987M12,75.08070513514211
1988M01,75.86383622596676
1988M02,78.19318312405198
1988M03,77.60633773133702
1988M04,77.3716500375417
1988M05,78.39380343305511
1988M06,81.89868325911577
1988M07,85.98415301102793
1988M08,88.79038312317701
1988M09,88.34473428686114
1988M10,86.17549191831716
1988M11,82.65926915565177
1988M12,83.08898190452199
1989M01,86.07615191850543
1989M02,87.09491391235424
1989M03,88.44836345109546
1989M04,88.4580707304345
1989M05,92.66821063567583
