DATE,"Korea, Republic of"
2002M11,105.94374735471916
2002M12,104.87923599986833
2003M01,102.1471903026823
2003M02,103.55164488859307
2003M03,106.81350978196834
2003M04,106.24550598351634
2003M05,103.59721216801447
2003M06,103.45454436042424
2003M07,102.53041660928314
2003M08,102.2795424831112
2003M09,100.4606703987498
2003M10,100.5852268282329
2003M11,102.05230991709091
2003M12,101.9907488967085
2004M01,101.02589965350118
2004M02,99.75105293231462
2004M03,99.3377460865309
2004M04,98.53617416966006
2004M05,101.28342849969158
2004M06,100.08016842818488
2004M07,99.27886343910268
2004M08,98.46750216991033
2004M09,97.79774263601995
2004M10,97.8150935743041
2004M11,93.68067890617998
2004M12,90.10923160476803
2005M01,88.34053174836157
2005M02,86.98885926232077
2005M03,86.07596621834305
2005M04,86.71529671199853
2005M05,86.08573571692871
2005M06,87.23131941938345
2005M07,89.46646617275566
2005M08,88.27569128409125
2005M09,89.60512489658846
2005M10,91.42339444114714
2005M11,90.5613827300759
2005M12,88.41672765010645
2006M01,85.15559314750364
2006M02,83.9631298738016
2006M03,84.39706096893012
2006M04,83.07651850843686
2006M05,82.30238937723516
2006M06,83.8521230848617
2006M07,83.3671888847311
2006M08,83.95793839649888
2006M09,82.58875374707235
2006M10,82.66158918262565
2006M11,81.32072828095718
2006M12,80.29780008519612
2007M01,81.41321551004211
2007M02,81.31877257542602
2007M03,82.11349104172383
2007M04,81.25946095927635
2007M05,81.36496149839697
2007M06,81.533193434628
2007M07,80.40852170053843
2007M08,81.62303623457892
2007M09,81.03223899482443
2007M10,79.65203258077376
2007M11,80.41417113796028
2007M12,81.16067647003676
2008M01,82.2266035394434
2008M02,82.30464409503927
2008M03,85.56856665826078
2008M04,86.02458978893384
2008M05,90.480334644153
2008M06,90.18819259801106
2008M07,88.88380271122693
2008M08,91.20859442289421
2008M09,98.78055998943678
2008M10,114.24967437964345
2008M11,118.62805198692574
2008M12,114.71840332217445
2009M01,113.9255215672739
2009M02,120.84724899870793
2009M03,121.37873020680232
2009M04,111.58264799724863
2009M05,105.15021994467277
2009M06,106.71012333645686
2009M07,106.13660338701196
2009M08,104.12857934281918
2009M09,102.02794981338269
2009M10,99.00966452302264
2009M11,97.92659688162611
2009M12,97.6573298253949
2010M01,94.9421791664258
2010M02,96.27717317080089
2010M03,94.7497381550872
2010M04,92.83596043600684
2010M05,97.19886758584525
2010M06,100.86929731419472
2010M07,100.06074809159156
2010M08,97.63426869860513
2010M09,95.518199879751
2010M10,92.28925520588604
2010M11,93.27030921094044
2010M12,94.5581184175553
2011M01,91.69744860234007
2011M02,91.52976943920552
2011M03,92.14098527936278
2011M04,89.69945238925109
2011M05,89.8828901460687
2011M06,89.35087860946959
2011M07,87.15881622830346
2011M08,88.09222744421663
2011M09,92.50662232063821
2011M10,94.56039176751455
2011M11,93.07263924397266
2011M12,93.64095124854512
2012M01,93.37433982958702
2012M02,91.6660624198343
2012M03,92.66531324393087
2012M04,93.65255532697637
2012M05,95.1566779753686
2012M06,95.68970975825636
2012M07,93.99876597933708
2012M08,93.24064451454365
2012M09,92.30294880104782
2012M10,90.94397155589152
2012M11,89.32898688617841
2012M12,88.0520799998044
2013M01,86.98002133740799
2013M02,88.99962699000572
2013M03,90.7749078330863
2013M04,92.22895619366237
2013M05,91.65144475126247
2013M06,94.00884536721001
2013M07,93.01939922821576
2013M08,91.94345530004658
2013M09,89.28976919239057
2013M10,87.76319905170861
2013M11,87.3502005850572
2013M12,86.69268586060326
2014M01,87.34846572071999
2014M02,87.86199426715508
2014M03,88.24260287742788
2014M04,86.16764411958326
2014M05,84.77296338053779
2014M06,84.60091730147451
2014M07,84.60131372618105
2014M08,84.64466192955288
2014M09,85.6885033724423
2014M10,87.80974930600428
2014M11,90.49792059211268
2014M12,90.52623107922702
2015M01,88.2672409820132
2015M02,89.5107192552188
2015M03,91.23693541267768
2015M04,89.16556854572734
2015M05,89.9560018115705
2015M06,91.85577249221363
2015M07,94.47645417572699
2015M08,96.99589519593182
2015M09,97.50947342291248
2015M10,94.1544288664281
2015M11,94.83740521546429
2015M12,95.85219370327378
2016M01,98.3472042275462
2016M02,99.36475149701954
2016M03,96.91085636481229
2016M04,94.27310438497365
2016M05,96.89732102017793
2016M06,96.71994987950679
2016M07,94.53824407630913
2016M08,91.89947402517458
2016M09,91.17116563467768
2016M10,92.72480446836322
2016M11,95.53082423314612
2016M12,97.3810278858473
2017M01,96.83108347438674
2017M02,93.68567689722387
2017M03,93.05344191413496
2017M04,93.4161951426754
2017M05,92.66109655849725
2017M06,93.52001879018742
2017M07,93.42541808088933
2017M08,93.02809214496618
2017M09,93.53854890230407
2017M10,93.28490398320855
2017M11,91.76869297351807
2017M12,89.98732194548343
2018M01,88.49091277278254
2018M02,89.3895507773811
2018M03,88.89877449807778
2018M04,88.8267434194454
2018M05,89.90468115784563
2018M06,91.81375890831467
2018M07,94.27062700267898
2018M08,93.32137171090245
2018M09,92.65865478248104
2018M10,94.03471771017225
2018M11,93.95524389735532
2018M12,93.56985605525539
2019M01,93.76944185238145
2019M02,93.92320593742542
2019M03,95.32613172520699
2019M04,96.40398789583368
2019M05,100.0
