DATE,Portugal
2010M11,77.29759016598466
2010M12,79.73978971364551
2011M01,78.85544521813584
2011M02,77.54372375579786
2011M03,75.1489400290138
2011M04,72.99956385642285
2011M05,73.86626775281547
2011M06,73.73971137926544
2011M07,74.50382447231814
2011M08,74.62048171115796
2011M09,77.2366331631419
2011M10,76.63257299075252
2011M11,77.46301978484806
2011M12,79.49967832902031
2012M01,81.15218023275676
2012M02,79.47420612733796
2012M03,79.28952242984882
2012M04,79.54130802695546
2012M05,82.0738682757566
2012M06,83.83396875524137
2012M07,85.33730404848792
2012M08,85.15775745354905
2012M09,82.00080771972365
2012M10,80.95517954471421
2012M11,81.75160291681716
2012M12,79.71012841234844
2013M01,79.92955499700123
2013M02,80.25248168737637
2013M03,81.56075278084464
2013M04,81.07772979073859
2013M05,81.35877234891056
2013M06,80.23627165468376
2013M07,81.12866444886659
2013M08,80.4143557042481
2013M09,79.81653131919687
2013M10,77.96814568288795
2013M11,78.80086348742816
2013M12,77.30414067559934
2014M01,79.21326764530569
2014M02,79.4353362589792
2014M03,77.93294117171585
2014M04,78.0611096791017
2014M05,78.8970003755117
2014M06,79.79561889762647
2014M07,80.63686856824127
2014M08,82.03726724920588
2014M09,84.26260565209722
2014M10,85.27942684962922
2014M11,86.35974610812359
2014M12,86.87067277907302
2015M01,93.09289773659151
2015M02,95.7673736608221
2015M03,99.04793000979066
2015M04,99.45075354607462
2015M05,96.22700275356802
2015M06,96.0813679117031
2015M07,98.70179118847578
2015M08,97.64159795662142
2015M09,95.99751174869266
2015M10,95.76276198591574
2015M11,100.19736312091837
2015M12,98.81283855857863
2016M01,100.16633921071472
2016M02,98.59369937412676
2016M03,97.08531188760021
2016M04,95.13377802762328
2016M05,95.49630672673516
2016M06,96.37999685306714
2016M07,98.26055836810002
2016M08,97.31442238971387
2016M09,96.86900148307032
2016M10,98.2983428258982
2016M11,100.73963350249832
2016M12,103.15899308085545
2017M01,103.67081434582505
2017M02,103.9553531734366
2017M03,101.85104337230999
2017M04,100.83058150136702
2017M05,98.09732091677927
2017M06,97.0625096718414
2017M07,95.26648443015567
2017M08,93.13921471509155
2017M09,91.91876213294829
2017M10,92.77981785270255
2017M11,93.25333300419723
2017M12,92.45904454068814
2018M01,91.13541017969024
2018M02,91.05526387764904
2018M03,89.67281489413877
2018M04,89.87808380588584
2018M05,93.42300081754789
2018M06,94.57867214269055
2018M07,95.10126163067137
2018M08,96.62244792948258
2018M09,94.75013262249337
2018M10,96.44876887101992
2018M11,97.55094109803184
2018M12,97.31861365891135
2019M01,98.41384228165022
2019M02,99.61802316926648
2019M03,98.8597370395507
2019M04,99.37076074056701
2019M05,100.0
