DATE,Belgium
2010M11,81.45988848000198
2010M12,83.94822627681928
2011M01,83.0266594356655
2011M02,81.1688187756438
2011M03,79.52611265088925
2011M04,77.3905052729872
2011M05,78.00848987373284
2011M06,77.45243635067133
2011M07,78.10712980495708
2011M08,77.95115427193788
2011M09,81.12320145684062
2011M10,81.20846949532336
2011M11,81.70284776804584
2011M12,83.80201671030024
2012M01,85.32912346474207
2012M02,83.1399907729326
2012M03,83.73574190271275
2012M04,84.17841582627399
2012M05,86.5805799557063
2012M06,88.44983690135807
2012M07,89.85738687673656
2012M08,89.15251937040124
2012M09,86.23500406539966
2012M10,85.24810759477293
2012M11,85.91066756189942
2012M12,83.76692250308825
2013M01,82.97895182426218
2013M02,82.94706337494131
2013M03,85.57212712600904
2013M04,85.10874624351405
2013M05,85.42130836560811
2013M06,84.14307726257985
2013M07,84.7934856185654
2013M08,83.47385499624303
2013M09,83.28861797955607
2013M10,81.38511960164035
2013M11,82.01434340685476
2013M12,80.61851904982129
2014M01,81.35828134495709
2014M02,81.24396141184599
2014M03,80.74702654763067
2014M04,81.32128653368657
2014M05,82.17743782765622
2014M06,83.10592147755021
2014M07,83.26167133030945
2014M08,84.83551383291866
2014M09,87.70494987371707
2014M10,88.94042100372963
2014M11,89.99731827512558
2014M12,90.61490013808356
2015M01,95.85775227436383
2015M02,98.13483645712438
2015M03,103.35321805588175
2015M04,103.71703052012188
2015M05,100.62275710716492
2015M06,100.24108217470446
2015M07,102.228491884577
2015M08,100.72157661052162
2015M09,99.73741732006684
2015M10,99.23881484684745
2015M11,103.51774780160012
2015M12,101.95159449062868
2016M01,102.16588575801349
2016M02,100.0522712411291
2016M03,99.52830081725367
2016M04,97.69792895814716
2016M05,98.03299044765794
2016M06,98.96591292365493
2016M07,100.11353859985923
2016M08,98.97590045257189
2016M09,99.41910907053165
2016M10,100.93771583825779
2016M11,102.85441271515057
2016M12,105.2337958837755
2017M01,104.38359757034112
2017M02,104.04028490257653
2017M03,103.48343040457941
2017M04,103.24574949748906
2017M05,100.29586733400106
2017M06,98.98944082956963
2017M07,96.2244696274713
2017M08,94.02059372783604
2017M09,93.76580775525142
2017M10,94.70000564223889
2017M11,94.72604610293494
2017M12,93.7015513715057
2018M01,91.1529411647717
2018M02,90.31821290976099
2018M03,90.47803213709578
2018M04,91.01021996092719
2018M05,94.78891531134099
2018M06,95.92447504134964
2018M07,95.5004294434926
2018M08,96.55807152274934
2018M09,95.75488756673128
2018M10,96.72746844096494
2018M11,97.24244403742948
2018M12,97.01555762489703
2019M01,96.97195191309984
2019M02,97.62599165345128
2019M03,98.30002873199493
2019M04,99.33108207419028
2019M05,99.99999999999999
