DATE,Spain
2010M11,76.86340983820197
2010M12,79.03815727767716
2011M01,79.19126947564125
2011M02,77.7712933936819
2011M03,76.01346146430308
2011M04,73.23899713909451
2011M05,74.09563747143062
2011M06,73.90110371834015
2011M07,75.01324694988901
2011M08,74.70874705414114
2011M09,77.76835128214684
2011M10,77.36089175626445
2011M11,77.82180217216224
2011M12,79.75026946495774
2012M01,82.70647206970433
2012M02,80.97783304179053
2012M03,81.18543322872857
2012M04,80.54122804757327
2012M05,82.93782966810163
2012M06,84.68885689560678
2012M07,86.39586519997424
2012M08,85.60861167107431
2012M09,82.14068110136564
2012M10,80.6628848977117
2012M11,81.30025211646299
2012M12,79.22393778433886
2013M01,79.47059937338985
2013M02,79.5581913314721
2013M03,81.9033601730628
2013M04,81.12366364574073
2013M05,81.3938834674608
2013M06,80.19405220098847
2013M07,81.3140910502693
2013M08,79.75273449818334
2013M09,79.77272022510147
2013M10,77.57259551211233
2013M11,78.0642478990999
2013M12,76.78928269775328
2014M01,78.64794272696817
2014M02,78.6970373379171
2014M03,78.08759135671183
2014M04,77.70930806028527
2014M05,78.42358850233366
2014M06,79.35097526535925
2014M07,80.3899217821639
2014M08,81.47162900427979
2014M09,84.03208161951018
2014M10,84.93072282123671
2014M11,85.88795439262135
2014M12,86.88878461048354
2015M01,93.29550286206297
2015M02,95.7083088561042
2015M03,100.21747431329402
2015M04,100.03192587676185
2015M05,96.73921266391278
2015M06,96.25845550107222
2015M07,99.08695658560015
2015M08,98.02008206056416
2015M09,97.42843900670617
2015M10,96.65865656314553
2015M11,100.56699260340488
2015M12,99.20920252000309
2016M01,101.46034219117381
2016M02,99.77230372877656
2016M03,99.509725784431
2016M04,97.1698095170213
2016M05,97.28545735947162
2016M06,97.86330039328736
2016M07,99.83919028707929
2016M08,98.53053580350772
2016M09,98.75594522011231
2016M10,99.42026949178133
2016M11,101.01102738484937
2016M12,102.86726125573523
2017M01,103.333493797863
2017M02,103.7529929188031
2017M03,103.45578537536967
2017M04,102.41067515915756
2017M05,99.45986498061168
2017M06,97.97248576112958
2017M07,96.18100196922224
2017M08,93.8536264409201
2017M09,93.33875758107564
2017M10,93.67403788256225
2017M11,93.39759301967261
2017M12,92.52036238570331
2018M01,91.25201530001735
2018M02,90.43140229751718
2018M03,90.61208024746297
2018M04,90.67052747430024
2018M05,93.78448592939148
2018M06,94.758081342701
2018M07,95.38417044383
2018M08,96.43745099079968
2018M09,95.40268484472895
2018M10,96.13661801031363
2018M11,96.90628735451772
2018M12,96.88357124786755
2019M01,98.04806039557687
2019M02,98.78817581490642
2019M03,99.41095160999669
2019M04,99.50627004381481
2019M05,100.0
