DATE,Austria
2010M11,82.25818016731581
2010M12,84.56787377031782
2011M01,84.18733722764226
2011M02,82.21280617905147
2011M03,80.01169176703874
2011M04,77.67310528773541
2011M05,78.47910538676739
2011M06,78.16301534496971
2011M07,79.06648519909771
2011M08,78.69079940568864
2011M09,81.79769769326961
2011M10,81.93188119352058
2011M11,82.67473459030538
2011M12,84.67109945559636
2012M01,87.26192689364102
2012M02,85.11670797239138
2012M03,85.01276572319851
2012M04,85.19944448042898
2012M05,87.68702250251947
2012M06,89.28709328070062
2012M07,91.13207003296932
2012M08,90.55353921943819
2012M09,87.0002745936195
2012M10,85.99929025787158
2012M11,86.49096565829593
2012M12,84.18387419767896
2013M01,83.83604415425522
2013M02,83.83776426258436
2013M03,85.88936343328052
2013M04,85.3108985530576
2013M05,85.59425768887363
2013M06,84.456854405238
2013M07,85.59059590479693
2013M08,84.12992227729376
2013M09,83.37420522918755
2013M10,81.47880935619855
2013M11,82.09042993280703
2013M12,80.30407183224544
2014M01,81.82841607244004
2014M02,81.69265892247638
2014M03,80.42599855346002
2014M04,80.67506351351793
2014M05,81.21301431646113
2014M06,82.12144870199651
2014M07,82.86628567830704
2014M08,84.11355930060654
2014M09,86.33720260691138
2014M10,87.74674100749772
2014M11,88.51349422623946
2014M12,89.02295494884233
2015M01,95.08572530750848
2015M02,97.44768385265283
2015M03,101.56134305098466
2015M04,102.10070810076952
2015M05,99.0144057272593
2015M06,98.68723692989596
2015M07,101.04601050864903
2015M08,99.82497286185202
2015M09,98.52353723446157
2015M10,98.46838570587157
2015M11,102.72289564542871
2015M12,100.63798363864205
2016M01,101.86928101519686
2016M02,99.72080474415237
2016M03,99.30117829136894
2016M04,97.64603945907265
2016M05,98.00363817764217
2016M06,98.94389594746085
2016M07,100.60570888625574
2016M08,99.61218133287143
2016M09,99.15443110900239
2016M10,100.66368529282046
2016M11,102.54362580818962
2016M12,104.53327752451007
2017M01,104.73755332011068
2017M02,104.47561430435707
2017M03,103.64712788611193
2017M04,103.38496568349031
2017M05,100.2475816545482
2017M06,98.69509665481384
2017M07,96.50310443982029
2017M08,94.44758129998316
2017M09,93.18493177128744
2017M10,94.29094508453115
2017M11,94.26034262621323
2017M12,93.05929871126253
2018M01,91.40699998166359
2018M02,90.44467320964561
2018M03,90.21171480086899
2018M04,90.84146042868463
2018M05,94.62749199270768
2018M06,95.67722839801874
2018M07,95.80150615637162
2018M08,96.99772417740677
2018M09,95.46285950359301
2018M10,96.81205642001471
2018M11,97.2966618809796
2018M12,96.74590169596536
2019M01,97.39068774731943
2019M02,98.36480128473968
2019M03,98.50479483403478
2019M04,99.49935184721144
2019M05,100.0
