DATE,Switzerland
2010M11,82.87866227546327
2010M12,82.14482513004494
2011M01,81.9726811618749
2011M02,81.21271786834896
2011M03,78.91836632653938
2011M04,77.6142050279709
2011M05,76.24151026397935
2011M06,72.87417567949292
2011M07,71.792011780357
2011M08,68.67909375310565
2011M09,77.39298491236889
2011M10,79.04111912805277
2011M11,79.99157055633006
2011M12,81.67426677807792
2012M01,83.27024406612352
2012M02,80.74010070065462
2012M03,80.90227010319975
2012M04,81.08613348906881
2012M05,83.6758659634187
2012M06,85.57229956501891
2012M07,87.63446815179756
2012M08,87.24929159779005
2012M09,84.66424707587358
2012M10,83.6277811318616
2012M11,84.40324182093565
2012M12,82.56142248750037
2013M01,83.02222604035997
2013M02,83.45566720296547
2013M03,86.21504051617164
2013M04,85.1901342557703
2013M05,87.0617958897487
2013M06,84.4606156002814
2013M07,86.61979835513159
2013M08,84.95936104452196
2013M09,83.89120424239545
2013M10,81.91904405737898
2013M11,82.65432315756068
2013M12,81.01424030597758
2014M01,82.4549369050577
2014M02,81.7590037328169
2014M03,81.06772576032198
2014M04,81.27904407408928
2014M05,82.24888211164577
2014M06,83.38851892503051
2014M07,84.59879261315524
2014M08,84.48470051812158
2014M09,87.21247786877441
2014M10,87.92039083215676
2014M11,88.40060337495852
2014M12,90.17772201998466
2015M01,86.46216665916586
2015M02,87.061522186653
2015M03,91.00956981787569
2015M04,89.49586679541511
2015M05,86.93857125181216
2015M06,87.1790656902621
2015M07,89.61054580524423
2015M08,91.51424861778749
2015M09,91.28114072784027
2015M10,91.16418450094768
2015M11,94.79147687991012
2015M12,93.9181568343978
2016M01,95.38471694962223
2016M02,93.3994957784117
2016M03,92.58236260038805
2016M04,90.82237294356209
2016M05,92.95548081026239
2016M06,92.1803549197437
2016M07,93.39442340958799
2016M08,92.61943915749434
2016M09,92.7856787948998
2016M10,94.7676796902754
2016M11,95.76542177659408
2016M12,97.79048780880035
2017M01,97.42938969089747
2017M02,96.30385713665586
2017M03,96.1746375535593
2017M04,96.26627703797631
2017M05,95.20817385997654
2017M06,93.50171736207213
2017M07,92.76389261427512
2017M08,93.01152547467197
2017M09,93.27144083967178
2017M10,95.09672055732982
2017M11,96.13925010436247
2017M12,96.11008461280325
2018M01,93.82904487470032
2018M02,90.97219590237917
2018M03,92.7839038733945
2018M04,94.91560331214924
2018M05,97.8854987399864
2018M06,97.05710664184399
2018M07,97.28737590088416
2018M08,97.35739020742713
2018M09,95.44451565465778
2018M10,97.41242626863536
2018M11,98.31760415673791
2018M12,97.27324959490365
2019M01,97.71490978429752
2019M02,98.73517772131433
2019M03,98.76626971904653
2019M04,100.09398468185198
2019M05,100.0
