DATE,Luxembourg
2010M11,79.9412731093772
2010M12,82.45034023508032
2011M01,82.36926169004296
2011M02,79.72579974103397
2011M03,77.94188750867285
2011M04,75.80684461215733
2011M05,76.62713187167586
2011M06,76.38294227029986
2011M07,77.8311688289398
2011M08,76.51913760204309
2011M09,79.76392161422834
2011M10,79.8543860841729
2011M11,80.40319346504562
2011M12,82.54601255041138
2012M01,85.24290342947991
2012M02,82.15638398646158
2012M03,82.63935803571492
2012M04,82.86177882891916
2012M05,85.32323420207649
2012M06,87.02505366278915
2012M07,89.40926381927862
2012M08,87.74438767326903
2012M09,84.65448094449715
2012M10,83.72638554278085
2012M11,84.34394185211791
2012M12,82.44073397682833
2013M01,82.38086622717073
2013M02,81.0690304287858
2013M03,83.74364432903512
2013M04,83.18110405538587
2013M05,83.7982987640789
2013M06,82.40945379151422
2013M07,84.09672859300898
2013M08,81.54807230928253
2013M09,81.27685127057838
2013M10,79.51564605991655
2013M11,80.1864346182683
2013M12,78.89200843716345
2014M01,80.45516486011698
2014M02,79.49389419447527
2014M03,79.06268361226998
2014M04,79.35602308748199
2014M05,80.07955437458153
2014M06,80.91919854951435
2014M07,82.04534635946483
2014M08,82.40573921418239
2014M09,85.20164213407473
2014M10,86.71371256717934
2014M11,87.83301720793482
2014M12,88.88379984897821
2015M01,94.51629951984478
2015M02,95.5531460297979
2015M03,100.55346812604633
2015M04,101.23902068230188
2015M05,97.96341027816233
2015M06,97.55244281631195
2015M07,100.54555197475959
2015M08,98.18553866914137
2015M09,97.4485706408271
2015M10,97.47170195078391
2015M11,101.7237179992459
2015M12,100.40704398366577
2016M01,101.95167668743547
2016M02,98.6028725058102
2016M03,98.95445151471462
2016M04,97.23704897062812
2016M05,97.57197664032076
2016M06,98.37052317059397
2016M07,100.73782475892355
2016M08,98.40808286682241
2016M09,98.5891952607391
2016M10,100.41645196812946
2016M11,102.31129795469371
2016M12,104.5607569816679
2017M01,105.1335885338255
2017M02,103.7534727478139
2017M03,103.42461594226697
2017M04,103.10074012297996
2017M05,99.99083402497776
2017M06,98.48977593685521
2017M07,96.6937947758311
2017M08,93.41875741914829
2017M09,93.21345322818398
2017M10,94.30965341235651
2017M11,94.71929572698112
2017M12,93.81741248228617
2018M01,92.32654467940498
2018M02,90.47840442230495
2018M03,90.68711588366139
2018M04,91.29090678411461
2018M05,94.95506220074093
2018M06,96.03371528619542
2018M07,96.63743537453956
2018M08,96.53125454698416
2018M09,95.50860738497971
2018M10,97.03129711741374
2018M11,97.7290036759274
2018M12,97.58430984869507
2019M01,98.36284643786055
2019M02,97.86078738047772
2019M03,98.67627916850174
2019M04,99.58627773176352
2019M05,100.00000000000001
