DATE,Mexico
1986M12,131.70740245451398
1987M01,132.25766409431915
1987M02,131.53783243880977
1987M03,132.44197762503129
1987M04,130.30110851764732
1987M05,129.9826008050706
1987M06,129.49022337963237
1987M07,126.47416355949989
1987M08,123.45386915806473
1987M09,122.81073194939643
1987M10,119.56361010467621
1987M11,117.03242268531666
1987M12,121.05380070037828
1988M01,114.43573419185684
1988M02,107.81637006708209
1988M03,104.37974889468238
1988M04,101.78449142424643
1988M05,100.19361898861024
1988M06,98.60832350833667
1988M07,97.4003901027051
1988M08,96.91972726636268
1988M09,97.0166468198913
1988M10,96.60370713657089
1988M11,95.4072991321842
1988M12,93.61271923299034
1989M01,92.23362223472631
1989M02,92.57147820880542
1989M03,93.2969182270193
1989M04,93.70469751628238
1989M05,94.52036061117653
