DATE,Norway
2010M12,69.35428757052276
2011M01,68.61098275299982
2011M02,67.12746656745853
2011M03,66.02876338642139
2011M04,63.97164934983538
2011M05,64.88599946939952
2011M06,64.90538741091233
2011M07,65.41183299375112
2011M08,65.58403880678269
2011M09,67.27973304780912
2011M10,67.81196434524155
2011M11,68.83213330190286
2011M12,70.13954773892439
2012M01,71.43981995256387
2012M02,68.12907514738275
2012M03,68.71943597182138
2012M04,69.33620729512229
2012M05,71.18193395291637
2012M06,72.78682742343682
2012M07,73.58589094694359
2012M08,72.35515680264929
2012M09,69.95738677163517
2012M10,69.14914273662775
2012M11,68.86900427642995
2012M12,67.02960445024884
2013M01,66.88889747014811
2013M02,67.01125124224095
2013M03,69.50481247091795
2013M04,69.30996021398649
2013M05,69.72041737006793
