DATE,Czech Republic
2002M03,151.76924823545437
2002M04,145.93251235361345
2002M05,142.02779001290932
2002M06,135.8929189813775
2002M07,127.7920359741295
2002M08,134.93972553974575
2002M09,132.84570213911934
2002M10,135.53873729367908
2002M11,133.45664899600737
2002M12,132.68555695210074
2003M01,128.25526930172066
2003M02,127.69172881714623
2003M03,128.71284255251956
2003M04,127.09897144631597
2003M05,117.92730365792517
2003M06,117.35882616242259
2003M07,122.12596433014815
2003M08,127.1159860462378
2003M09,127.36381072358573
2003M10,120.61138481570335
2003M11,119.62002533356744
2003M12,114.88398395543102
2004M01,111.80244760488466
2004M02,112.29474742081601
2004M03,116.97561927332208
2004M04,118.30988193582787
2004M05,116.26407390167189
2004M06,113.94937849303668
2004M07,111.86268568753886
2004M08,113.09712153232827
2004M09,113.89745634215767
2004M10,111.06061681587607
2004M11,106.09796876841624
2004M12,100.35565622228081
2005M01,100.8180456991024
2005M02,100.79705497925202
2005M03,99.81194293728917
2005M04,103.46804557567042
2005M05,105.53821525776902
2005M06,108.81922953479572
2005M07,110.64358277372557
2005M08,106.8591005867935
2005M09,107.66616204511907
2005M10,110.6281663258972
2005M11,110.45390604087062
2005M12,108.45556989248304
2006M01,104.56597110226852
2006M02,105.08597229764506
2006M03,105.80092115280156
2006M04,104.10412311666731
2006M05,99.14584572629226
2006M06,100.44574478789572
2006M07,100.26075222947759
2006M08,98.29766910422401
2006M09,99.81907793093025
2006M10,100.46039835290708
2006M11,97.26996782527786
2006M12,94.03153090256615
2007M01,95.19365399047295
2007M02,96.23230162508999
2007M03,94.9694379738943
2007M04,92.84893404996932
2007M05,93.84997615284729
2007M06,95.47189410651323
2007M07,92.18772195045183
2007M08,90.85317702687698
2007M09,88.82992629593204
2007M10,85.6078278855792
2007M11,80.83981819065288
2007M12,79.66471344688387
2008M01,76.27999046960548
2008M02,74.1362817137079
2008M03,70.68599515504002
2008M04,69.43930734500623
2008M05,70.59139562585857
2008M06,68.98340792491148
2008M07,65.83385820249146
2008M08,71.40636413732034
2008M09,75.07461061413504
2008M10,80.98510578546419
2008M11,84.98748531523964
2008M12,83.05789151078699
2009M01,86.61868490856187
2009M02,94.33887034642132
2009M03,88.55531773849249
2009M04,86.32028459218911
2009M05,83.49767981805162
2009M06,81.50385829950127
2009M07,78.83902279366369
2009M08,77.84638016386748
2009M09,75.71722688071256
2009M10,75.96045530299551
2009M11,75.40840755628878
2009M12,77.36594266999633
2010M01,78.72803981055691
2010M02,81.62919583914548
2010M03,81.09808749683933
2010M04,81.10481013834863
2010M05,87.82656667642864
2010M06,90.65979512588694
2010M07,84.69593373882594
2010M08,82.72118242353349
2010M09,81.48149814664609
2010M10,76.30819848426748
2010M11,77.86029059728263
2010M12,81.87967092063325
2011M01,78.65228883996383
2011M02,76.71390509422685
2011M03,75.77044301127253
2011M04,73.47594741417976
2011M05,74.21890452510816
2011M06,73.69365373271677
2011M07,74.4759142866156
2011M08,74.13761279773185
2011M09,78.40879421298327
2011M10,79.52731238970905
2011M11,81.82817261116998
2011M12,83.83885352225728
2012M01,84.53202480111601
2012M02,81.00798607929906
2012M03,80.46345645335178
2012M04,81.39744563097601
2012M05,85.31117352977611
2012M06,87.80057924741024
2012M07,88.8184899746511
2012M08,87.07388959276732
2012M09,83.51692665678074
2012M10,83.09969253539904
2012M11,85.3765303479344
2012M12,82.69456244762972
2013M01,81.89587174759896
2013M02,81.75473171504201
2013M03,85.06364114803122
2013M04,85.10389096358337
2013M05,85.9438196974357
2013M06,83.9559305135438
2013M07,85.45057809781561
2013M08,83.86677940156815
2013M09,83.95626465354842
2013M10,81.45149669924544
2013M11,86.25014324380233
2013M12,86.41209571037822
2014M01,87.1642077878015
2014M02,86.92276169344652
2014M03,86.30682451080831
2014M04,86.80980131173986
2014M05,87.59498633627977
2014M06,88.63568032396196
2014M07,88.6851346649796
2014M08,91.29137100840754
2014M09,93.82853539737172
2014M10,95.0646246396569
2014M11,96.62248887326295
2014M12,97.02757900404099
2015M01,103.51201669997785
2015M02,105.09261030144887
2015M03,109.7376374160923
2015M04,110.41207804299005
2015M05,106.86097127341102
2015M06,106.16974954129594
2015M07,107.50426112283509
2015M08,105.99469558393523
2015M09,105.38623158592175
2015M10,105.25153164564192
2015M11,110.13109973335227
2015M12,108.46885720331551
2016M01,108.12725573872487
2016M02,105.89309748523566
2016M03,106.4116509712865
2016M04,103.96775450709576
2016M05,104.8593695978415
2016M06,105.97868099637033
2016M07,106.98088019847998
2016M08,105.69424183312896
2016M09,106.26459409328557
2016M10,107.84109218709528
2016M11,109.5678168450566
2016M12,111.94295857357626
2017M01,110.93055128809681
2017M02,110.54137426493696
2017M03,110.1954945487774
2017M04,109.34232980132542
2017M05,104.85765282995196
2017M06,102.20005412183201
2017M07,98.28983535565861
2017M08,96.45472285367637
2017M09,96.0058382876065
2017M10,95.70084504473205
2017M11,94.91308303856442
2017M12,94.3740384379486
2018M01,90.86044071238842
2018M02,89.69804742771423
2018M03,90.46959951728044
2018M04,90.74466026127841
2018M05,95.34193762133066
2018M06,96.66515860962569
2018M07,96.70753327484478
2018M08,97.19431782276827
2018M09,96.35512931893811
2018M10,98.48194786263313
2018M11,99.68634542317844
2018M12,98.70866650600152
2019M01,96.93207108431837
2019M02,97.98193019966989
2019M03,98.61177951705425
2019M04,99.60849753180126
2019M05,100.0
