DATE,Hungary
2013M04,78.23172197481335
2013M05,76.99023257068235
2013M06,76.63223225247506
2013M07,77.3069065642771
2013M08,77.38227911748069
2013M09,76.99305273055714
2013M10,74.22537173434773
2013M11,75.61550317461588
2013M12,75.5817869094495
2014M01,76.43993280972427
2014M02,78.42054800913867
2014M03,78.20292781578196
2014M04,77.3770722459638
2014M05,77.44390547258875
2014M06,78.78342733219156
2014M07,79.8694394804601
2014M08,82.33044050710023
2014M09,85.02482983767578
2014M10,85.03486708828035
2014M11,86.10398908162624
2014M12,88.08703706846468
2015M01,95.22157076648763
2015M02,94.31518242595376
2015M03,97.75338650166832
2015M04,96.80958479897193
2015M05,95.34443547713236
2015M06,96.94155978881021
2015M07,98.57796540773774
2015M08,97.87866635731835
2015M09,97.97840798176118
2015M10,97.03465770844396
2015M11,101.70788255104482
2015M12,101.00773062630773
2016M01,101.59162226731848
2016M02,98.22450420234848
2016M03,98.85267770899254
2016M04,96.56435764180506
2016M05,97.83431744248195
2016M06,98.4008695177294
2016M07,100.17843497138246
2016M08,98.04538723038745
2016M09,97.60453483026258
2016M10,98.1090226292525
2016M11,100.70378365166201
2016M12,103.75413479022173
2017M01,102.2175541066537
2017M02,101.79922053078221
2017M03,101.92414116479023
2017M04,102.06820794540803
2017M05,98.44604576718521
2017M06,96.4485625263418
2017M07,93.58169265843235
2017M08,90.62995199907567
2017M09,91.4416399144952
2017M10,92.87818260049482
2017M11,93.22233451855836
2017M12,92.78202817527028
2018M01,89.12105523611199
2018M02,88.83411029310297
2018M03,89.36687241348535
2018M04,89.2472749280035
2018M05,94.03611084798983
2018M06,96.86780896992992
2018M07,97.17758885247099
2018M08,97.71958654506788
2018M09,97.19149927033648
2018M10,98.05590444012357
2018M11,98.6640923862224
2018M12,98.67353930171939
2019M01,97.35743751635458
2019M02,97.25037753298159
2019M03,96.8449598742641
2019M04,98.65336881101705
2019M05,100.0
