DATE,Sweden
2010M11,66.52903828769169
2010M12,66.46887072548435
2011M01,65.36826858439487
2011M02,63.04037148040743
2011M03,62.34248221309998
2011M04,61.098561925671646
2011M05,61.567872711610434
2011M06,62.53729884478522
2011M07,63.31539873586461
2011M08,63.37042564106152
2011M09,65.4909677861952
2011M10,65.45221981970735
2011M11,66.12595249916598
2011M12,66.80967909915844
2012M01,67.93218270685632
2012M02,65.9040402563405
2012M03,66.8145958378536
2012M04,66.96923565925361
2012M05,69.8262777974038
2012M06,70.49339542487982
2012M07,69.25750833820078
2012M08,66.86907000542722
2012M09,66.19758861296484
2012M10,66.51865427936161
2012M11,67.06556307235482
2012M12,65.52384950240621
2013M01,65.26180194696298
2013M02,64.29329063172132
2013M03,64.90878389538682
2013M04,65.37285669142601
2013M05,66.59385918683348
2013M06,66.66795574580603
2013M07,67.19381870669079
2013M08,66.40024851850775
2013M09,65.81712646097773
2013M10,64.97370935903128
2013M11,66.49928300845946
2013M12,65.91314446401839
2014M01,66.42211514425716
2014M02,66.49073909305643
2014M03,65.99659352608916
2014M04,67.29662261506394
2014M05,67.91008514061983
2014M06,69.03105542295665
2014M07,70.5759994584108
2014M08,71.35738667899984
2014M09,73.67389914961464
2014M10,74.58218012202605
2014M11,76.03264144102921
2014M12,77.72464820014831
2015M01,83.09868947805195
2015M02,85.4329910455618
2015M03,87.61628137103871
2015M04,89.03801407264679
2015M05,86.09119340077518
2015M06,85.81355002642555
2015M07,88.5928683912689
2015M08,88.64274179208589
2015M09,86.39769421752813
2015M10,85.78013880829008
2015M11,89.45659149568291
2015M12,87.17434867756434
2016M01,88.13503180810702
2016M02,87.20412974172098
2016M03,86.01642190819143
2016M04,83.85880037915494
2016M05,85.08135304230782
2016M06,86.2054336995756
2016M07,88.60198720794342
2016M08,87.8480191442365
2016M09,88.53468812702397
2016M10,91.24105137369668
2016M11,94.27501445854794
2016M12,94.7658217931099
2017M01,93.36744036371527
2017M02,92.38511173307037
2017M03,92.6824717800233
2017M04,92.73042637684395
2017M05,90.99022300347342
2017M06,90.07482246445934
2017M07,85.82524102777356
2017M08,83.73400974825377
2017M09,83.1277372271875
2017M10,85.00743135063738
2017M11,87.0143033957163
2017M12,86.74823156023773
2018M01,84.29156994166695
2018M02,84.0586979364678
2018M03,86.00163902458054
2018M04,88.18127533001054
2018M05,91.58373087195885
2018M06,91.93544889764198
2018M07,91.6735788037486
2018M08,94.42049818921176
2018M09,93.06053682571311
2018M10,94.17676714325518
2018M11,94.05617267987147
2018M12,93.1341974336351
2019M01,93.83430888243515
2019M02,96.23566964728913
2019M03,96.97150188806711
2019M04,97.22487486845989
2019M05,100.0
