DATE,Denmark
2010M11,76.79220571191836
2010M12,79.37559814608319
2011M01,78.82138641861467
2011M02,76.61108083414027
2011M03,75.04329900727939
2011M04,73.095821088327
2011M05,73.64667256996952
2011M06,73.57913521313749
2011M07,74.28922014478039
2011M08,73.92433489648946
2011M09,76.93451822897654
2011M10,78.39739298085065
2011M11,77.84542107526259
2011M12,79.7750920911603
2012M01,81.4924347261112
2012M02,78.96356270271217
2012M03,79.29941152486758
2012M04,79.8215314818241
2012M05,81.76135613273432
2012M06,83.64135913280188
2012M07,85.33567489198973
2012M08,84.70220730363233
2012M09,81.93599327383696
2012M10,81.33829468774017
2012M11,82.10479281833044
2012M12,80.21754066627666
2013M01,79.78966913988258
2013M02,78.98314866168214
2013M03,81.3557062674163
2013M04,81.01026508319329
2013M05,81.35615833974511
2013M06,80.35371073417424
2013M07,81.34299003442149
2013M08,79.93115145953878
2013M09,79.63963531395926
2013M10,77.65104967448673
2013M11,78.50056977745096
2013M12,77.43643861526152
2014M01,78.23138427734436
2014M02,76.90781030497004
2014M03,77.32538607667274
2014M04,77.56821665599976
2014M05,78.20525431385342
2014M06,79.21663804115124
2014M07,79.63394791696436
2014M08,80.88076860621953
2014M09,83.14784456354089
2014M10,84.2918255046592
2014M11,85.43613657217873
2014M12,85.97813786099317
2015M01,91.51865418469757
2015M02,93.26644960687216
2015M03,97.9984609235247
2015M04,98.66929510679114
2015M05,95.78530597230355
2015M06,95.49862803535257
2015M07,97.61298421518929
2015M08,96.37509590279892
2015M09,95.31633315908243
2015M10,95.22523772216724
2015M11,99.65974106980043
2015M12,98.13127575670987
2016M01,98.68904410385377
2016M02,96.22092078237326
2016M03,96.39536022450473
2016M04,94.4521046275573
2016M05,95.07834327220145
2016M06,95.72961369371906
2016M07,97.11497266070269
2016M08,96.33453927377812
2016M09,96.56612716886
2016M10,98.09246199315088
2016M11,100.07090090916172
2016M12,102.42826954803321
2017M01,102.44065345899963
2017M02,101.658915390042
2017M03,101.6410084445396
2017M04,100.86804202022752
2017M05,98.13749588118867
2017M06,96.71650743483563
2017M07,93.57411782696452
2017M08,91.79975506893938
2017M09,91.31712282542668
2017M10,92.48479850833849
2017M11,92.90668036068011
2017M12,92.39260783956944
2018M01,90.35745520412222
2018M02,89.10802706562419
2018M03,89.45762021676758
2018M04,89.66976289189526
2018M05,93.57420472437525
2018M06,94.8557030787638
2018M07,94.12602398118266
2018M08,95.73064322992958
2018M09,95.22989113878951
2018M10,96.60571123399153
2018M11,97.45558369773003
2018M12,97.42975289000155
2019M01,97.12764407730708
2019M02,97.50904689639337
2019M03,98.41115830273841
2019M04,99.24249814602783
2019M05,100.0
