DATE,Netherlands
2010M11,80.57558668660481
2010M12,83.54678344323449
2011M01,83.18627882534864
2011M02,81.18747188869943
2011M03,79.04796371749643
2011M04,76.70010322338429
2011M05,77.51318786374658
2011M06,77.58053135563443
2011M07,77.93415678098883
2011M08,77.59027720604209
2011M09,80.67421309670668
2011M10,80.85011079149523
2011M11,81.9127934671012
2011M12,84.26642285098926
2012M01,86.47452581804589
2012M02,84.1195527360169
2012M03,83.94553833854567
2012M04,84.10668307980283
2012M05,86.6066132901942
2012M06,88.69526599518292
2012M07,89.68016223087099
2012M08,89.25287486884629
2012M09,86.12244247929151
2012M10,84.7914582389232
2012M11,85.70836698781234
2012M12,83.69035841101106
2013M01,82.86096975092586
2013M02,82.44842064296336
2013M03,84.27852127221044
2013M04,83.71214000233904
2013M05,84.12884357147745
2013M06,83.32327096943476
2013M07,83.34761034725271
2013M08,82.10072089543202
2013M09,81.92628668438392
2013M10,80.2166921745192
2013M11,81.29659374644201
2013M12,79.99987724566658
2014M01,81.01956299560044
2014M02,80.68927166236733
2014M03,79.58148599180704
2014M04,79.53269180501832
2014M05,80.55624156568976
2014M06,81.75324030201848
2014M07,81.38090832973144
2014M08,82.66368274983701
2014M09,85.40847378056763
2014M10,86.82830865020604
2014M11,88.26777373245322
2014M12,88.95509271328184
2015M01,94.84129495602402
2015M02,96.95946259872062
2015M03,101.09067644152061
2015M04,101.18159556654064
2015M05,98.10394029873338
2015M06,98.2482617521176
2015M07,99.43225452479426
2015M08,98.33631900154838
2015M09,97.62709177428016
2015M10,97.56254054723027
2015M11,102.4508567592505
2015M12,100.89302666315061
2016M01,102.26056110247569
2016M02,99.6087668086336
2016M03,98.97719221921811
2016M04,97.24021728730158
2016M05,97.71189274299047
2016M06,99.06220311231753
2016M07,99.82963951097233
2016M08,98.5301079546698
2016M09,99.06486405509554
2016M10,100.6108085614323
2016M11,102.9378615886901
2016M12,105.22121521387615
2017M01,105.49414854266169
2017M02,104.76784646386331
2017M03,104.08567325604542
2017M04,103.47395887771371
2017M05,100.757498723877
2017M06,99.56777682596548
2017M07,96.36936166999445
2017M08,94.07745173930974
2017M09,93.9448794240327
2017M10,95.02127287570116
2017M11,95.33224784597161
2017M12,94.50767729325628
2018M01,92.34248070274325
2018M02,91.19605087913948
2018M03,91.34359955906443
2018M04,91.58525324660272
2018M05,95.29799106142553
2018M06,96.83854702486742
2018M07,95.68467210253219
2018M08,96.76806121883749
2018M09,96.37857073525439
2018M10,97.67048102368265
2018M11,98.58081204491873
2018M12,98.20947923002832
2019M01,98.04451356949149
2019M02,98.15727241512984
2019M03,98.7591771899015
2019M04,99.18175817661188
2019M05,100.0
